text,created_at,user_id,building_type,rating,length,is_abnormal
"이 도시형생활주택은 별로고 현관도 깔끔해요. 교통이 편리해요, 하지만 곰팡이가 잘 생겨요. 겨울에는 쾌적해요. 주차장은 넓고 안전해요. 방은 작고 수납공간이 많아요. 택배 보관은 걱정해요.",2025-04-07 21:12:01,user_2209,오피스텔,3,105,0
"여기 살면서 좋은 하은 주차 공간이 충분해요이고, 아쉬운 점은 단열이 잘 안돼요예요. 전반적으로 춥은 원룸입니다. 여름에는 불쾌해요. 복도는 넓고 깨끗해요. 주차장은 넓고 항상 자리가 있어요.",2025-03-28 13:49:01,user_3677,다세대주택,3,107,0
"오피스텔이 만족스럽고 인터폰도 부정확한 편이에요.  관리가 잘 되고 있어요, 그래도 관리비가 비싸요 점이 좀 아쉬워요.  관리인은 책임감 있해요.  이제 모르겠고 글자수나 채우자 창문은 크고 소음이 잘 차단돼요.  방은 적당한  ㅠㅠㅠ 크기고 채광이 좋아요.",2025-03-29 21:43:01,user_5420,투룸,3,118,1
"여기 살면서 좋은 점은 관리가 잘 되고 있어요이고, 아쉬운 점은 엘리베이터가 느려요예요. 전반적으로 별로은 다세대주택입니다. 겨울에는 춥해요. 여름에는 덥해요. 사리인은 불친절해요.",2025-04-12 16:34:01,user_5461,투룸,4,101,0
"쾌적은 주택입니다. 주차장가 잘고, 관리가 잘 되고 있어요. 단점은 햇빛이 잘 안 들어와요입니다. 이웃들은 시끄럽해요. 방은 작고 따뜻해요. 복도는 적당한 크기고 조용해요. 창문은 크고 소음이 잘 차단돼요.",2025-03-19 09:15:01,user_6887,오피스텔,3,115,0
"여기 살면서 좋은 점은 난방이 잘 돼요이고,타아쉬운 점은 단열이 잘 안돼요예요.  전반적으로 쾌적은 도시형생활주택입니다.  주차장은 적당한 크기고 주차하기 편해요.  가나다라마바사아자차카타파하 창문은 크고 뷰가 좋아요.",2025-04-13 21:26:01,user_4830,도시형생활주택,3,104,1
오피스텔 춥한 편이에요.  인터넷 가확게 관리되고 있어요.  주변 시설이 잘 갖춰져 있 ~~~~~ 어요.  다만 곰팡이가 잘 생겨요 점은 아쉽습니다.  진짤ㄴㅇ쓰기 시랃ㅇ다아아하아 겨울에는 따뜻해요.  여름에는 불쾌해요.  창문은 적당한 크기고 채광이 좋아요.,2025-04-16 22:09:01,user_2810,다세대주택,4,116,1
오피스텔 별로한 편이에요. 엘리베이터 부정확게 관리되고 있어요. 채광이 좋아요. 다만 관리비가 비싸요 점은 아쉽습니다. 부엌은 작고 사용하기 편해요. 방은 적당한 크기고 채광이 좋아요.,2025-04-10 16:31:01,user_8982,원룸,3,103,0
다세대주택 만족스럽한 편나에요. 현관 불결게 관리되고 있어요. 환기가 잘 돼요. 다만 햇빛이 잘 안 들어와요 점은 아쉽습니다. 여름에는 불쾌해요. 택배 보관은 편리해요. 관리인은 불친절해요.,2025-04-12 13:33:01,user_3778,오피스텔,3,106,0
"아파트이 쾌적고 경비실도 부정확한 편이에요. 교통이 편리해요, 그래도 주변에 편의 시설나 적어요 점이 좀 아쉬워요. 관리인은 책임감 있해요. 여름에는 쾌적해요. 화장실은 적당한 크기고 깨끗해요.",2025-04-07 16:25:01,user_5548,투룸,5,108,0
"도시형생활주택이 시끄럽고 관리실도 정확한 편이에요. 관리가 잘 되고 있어요, 그래도 햇빛이 잘 안 들어와요 점이 좀 아쉬워요. 방은 적당한 크기고 채광이 좋아요. 복도는 적당한 크기고 조용해요.",2025-03-20 18:29:01,user_3944,투룸,3,108,0
"여기 살면서 좋은 점은 보안이 철저해요이고, 아쉬운 점은 곰팡이가 잘 생겨요예요. 전반적으로 별로은 쓰리룸입니다. 이웃들은 무관심해요. 방은 넓고 채광이 좋아요. 복도는 넓고 깨끗해요.",2025-04-03 11:06:01,user_2029,빌라,4,103,0
원룸 좋한 편이에요. 엘리베이터 느리게 관리되고 있어요. 채광이 좋아요. 다만 소음이 심해요 점은 아쉽습니다. 이웃들은 조용해요. 화장실은 적당한 크기고 환기가 잘 돼요. 방은 적당한 크기고 수납공간이 많아요.,2025-03-26 12:59:01,user_9966,오피스텔,3,117,0
